date,museum,_ - _ - artist,_ - _ - artist - artist,designer,title,medium
1960-01-01T00:00:00Z,v&a,Verner Panton,,Verner Panton,Panton Chair,polyurethane foam
1960-01-01T00:00:00Z,v&a,,,Verner Panton,Panton Chair,urethane alkyd
1964-01-01T00:00:00Z,v&a,Robin Day,,Robin Day,Polypropylene Chair (Mark II),polypropylene
1964-01-01T00:00:00Z,v&a,,,Robin Day,Polypropylene Chair (Mark II),metal
1992-01-01T00:00:00Z,v&a,"Severen, Van",,"Severen, Van",Chair no.2,aluminum
1992-01-01T00:00:00Z,v&a,,,"Severen, Van",Chair no.2,beech
2004-01-01T00:00:00Z,v&a,Richard Hutten,,Richard Hutten,Berlage chair,oak
2004-01-01T00:00:00Z,v&a,,,Richard Hutten,Berlage chair,nylon
1996-01-01T00:00:00Z,v&a,Marcel Wanders,,Marcel Wanders,Knotted Chair,aramid
1996-01-01T00:00:00Z,v&a,,,Marcel Wanders,Knotted Chair,carbon fiber
1996-01-01T00:00:00Z,v&a,,,Marcel Wanders,Knotted Chair,multifunctional epoxy
1968-01-01T00:00:00Z,v&a,Vico Magistretti,,Vico Magistretti,Selene Chair,fiberglass
2008-01-01T00:00:00Z,v&a,Oki Sato,,Oki Sato,Cabbage Chair,paper
2008-01-01T00:00:00Z,v&a,Zandra Johnson,,Zandra Johnson,Pip the Pony fantasy chair,powder coating
2008-01-01T00:00:00Z,v&a,,,Zandra Johnson,Pip the Pony fantasy chair,wood
2008-01-01T00:00:00Z,v&a,,,Zandra Johnson,Pip the Pony fantasy chair,lithographic ink
1993-01-01T00:00:00Z,v&a,"Severen, Van",,"Severen, Van",Low Chair,aluminum
1993-01-01T00:00:00Z,v&a,,,"Severen, Van",Low Chair,beech plywood
1951-01-01T00:00:00Z,v&a,Andrew Milne,,Andrew Milne,,sheet steel
1951-01-01T00:00:00Z,v&a,,,Andrew Milne,,steel
1780-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,mahogany
1780-01-01T00:00:00Z,v&a,,,Artist unknown,,beech
1670-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,oak
1996-01-01T00:00:00Z,v&a,Matthew Hilton,,Matthew Hilton,Wait Chair,polypropylene
1780-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,beech
1780-01-01T00:00:00Z,v&a,,,Artist unknown,,leather
1950-01-01T00:00:00Z,v&a,Carl Jacobs,,Carl Jacobs,Jason,beech plywood
1950-01-01T00:00:00Z,v&a,,,Carl Jacobs,Jason,beech
1972-01-01T00:00:00Z,v&a,Giorgio Decurso,,Giorgio Decurso,,acrylonitrile-butadiene-styrene copolymer
1972-01-01T00:00:00Z,v&a,,,Giorgio Decurso,,polypropylene
1785-01-01T00:00:00Z,v&a,Georges Jacob,,Georges Jacob,,walnut
1913-01-01T00:00:00Z,v&a,Roger Fry,,Roger Fry,,cane
1913-01-01T00:00:00Z,v&a,,,Roger Fry,,paint
1913-01-01T00:00:00Z,v&a,,,Roger Fry,,wood
1710-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,walnut
1947-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,emulsion paint
1947-01-01T00:00:00Z,v&a,,,Artist unknown,,wood
1786-01-01T00:00:00Z,v&a,Pratt,,Pratt,,beech
1786-01-01T00:00:00Z,v&a,,,Pratt,,rush
1786-01-01T00:00:00Z,v&a,Pratt (Mr),,Pratt (Mr),,beech
1786-01-01T00:00:00Z,v&a,,,Pratt (Mr),,rush
1700-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,beech
1805-01-01T00:00:00Z,v&a,Jacob-Desmalter,,Jacob-Desmalter,,mahogany
1805-01-01T00:00:00Z,v&a,,,Jacob-Desmalter,,beech
1805-01-01T00:00:00Z,v&a,,,Jacob-Desmalter,,gold leaf
1805-01-01T00:00:00Z,v&a,,,Jacob-Desmalter,,bronze
1805-01-01T00:00:00Z,v&a,,,Jacob-Desmalter,,damask
1750-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,mahogany
1785-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,mahogany
1785-01-01T00:00:00Z,v&a,,,Artist unknown,,beech
1780-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,mahogany
1783-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,mahogany
1783-01-01T00:00:00Z,v&a,,,Artist unknown,,leather
1790-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,ash
1790-01-01T00:00:00Z,v&a,,,Artist unknown,,rush
1732-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,beech
1732-01-01T00:00:00Z,v&a,,,Artist unknown,,velvet
1732-01-01T00:00:00Z,v&a,,,Artist unknown,,silk braid
1732-01-01T00:00:00Z,v&a,,,Artist unknown,,linen
1732-01-01T00:00:00Z,v&a,,,Artist unknown,,horsehair
1732-01-01T00:00:00Z,v&a,,,Artist unknown,,pine
1732-01-01T00:00:00Z,v&a,,,Artist unknown,,walnut
1725-01-01T00:00:00Z,v&a,Thomas Roberts,,Thomas Roberts,,walnut
1725-01-01T00:00:00Z,v&a,,,Thomas Roberts,,velvet
1725-01-01T00:00:00Z,v&a,,,Thomas Roberts,,silk
1705-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,walnut
1750-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,mahogany
1750-01-01T00:00:00Z,v&a,,,Artist unknown,,oak
1750-01-01T00:00:00Z,v&a,,,Artist unknown,,softwood
1750-01-01T00:00:00Z,v&a,,,Artist unknown,,plush
1929-01-01T00:00:00Z,v&a,Alvar Aalto,,Alvar Aalto,,birch
1929-01-01T00:00:00Z,v&a,,,Alvar Aalto,,plywood
1760-01-01T00:00:00Z,v&a,José Francisco de Paiva,,José Francisco de Paiva,,walnut
1760-01-01T00:00:00Z,v&a,,,José Francisco de Paiva,,gold leaf
1660-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,oak
1680-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,oak
1722-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,walnut
1722-01-01T00:00:00Z,v&a,,,Artist unknown,,silk
1951-01-01T00:00:00Z,v&a,Harry Bertoia,,Harry Bertoia,,steel
1951-01-01T00:00:00Z,v&a,,,Harry Bertoia,,plastic
1660-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,oak
1660-01-01T00:00:00Z,v&a,,,Artist unknown,,leather
1850-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,ebony
1760-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,mahogany
1670-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,wood
1670-01-01T00:00:00Z,v&a,,,Artist unknown,,walnut
1685-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,walnut
1660-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,oak
1891-01-01T00:00:00Z,v&a,Ernest Gimson,,Ernest Gimson,,mahogany
1891-01-01T00:00:00Z,v&a,,,Ernest Gimson,,rush
1790-01-01T00:00:00Z,v&a,Artist unknown,,Artist unknown,,mahogany
